OrderID,Date,Customer,Product,Category,Quantity,Price
1003,2023-08-31,Rahul Mehta,Headphones,Electronics,2,1299
1005,2023-12-22,Rahul Mehta,Headphones,Electronics,4,1299
1010,2023-05-09,Amit Sharma,Smartphone,Electronics,1,15999
1011,2023-01-04,Priya Singh,Mouse,Electronics,5,499
1012,2023-07-30,Rohit Gupta,Smartphone,Electronics,5,15999
1013,2023-08-14,Rohit Gupta,Laptop,Electronics,2,45999
1017,2023-09-05,Neha Verma,Headphones,Electronics,5,1299
1018,2023-03-16,Amit Sharma,Laptop,Electronics,3,45999
1019,2023-10-16,Rahul Mehta,Printer,Electronics,2,8999
1022,2023-10-11,Priya Singh,Smartphone,Electronics,2,15999
1028,2023-12-21,Anjali Chauhan,Laptop,Electronics,1,45999
1029,2023-05-21,Rahul Mehta,Laptop,Electronics,5,45999
1030,2023-08-31,Neha Verma,Laptop,Electronics,3,45999
1032,2023-10-01,Rohit Gupta,Mouse,Electronics,2,499
1033,2023-05-23,Priya Singh,Headphones,Electronics,4,1299
1035,2023-08-26,Priya Singh,Smartphone,Electronics,4,15999
1039,2023-03-16,Amit Sharma,Printer,Electronics,5,8999
1046,2023-07-20,Neha Verma,Printer,Electronics,3,8999
1048,2023-04-17,Rahul Mehta,Smartphone,Electronics,3,15999
1051,2023-03-07,Anjali Chauhan,Laptop,Electronics,1,45999
1052,2023-04-30,Amit Sharma,Mouse,Electronics,4,499
1054,2023-03-20,Rohit Gupta,Laptop,Electronics,1,45999
1055,2023-10-05,Neha Verma,Mouse,Electronics,4,499
1058,2023-01-14,Neha Verma,Printer,Electronics,5,8999
1059,2023-09-08,Rohit Gupta,Printer,Electronics,1,8999
1063,2023-06-20,Priya Singh,Smartphone,Electronics,3,15999
1068,2023-02-06,Priya Singh,Laptop,Electronics,2,45999
1069,2023-12-04,Neha Verma,Printer,Electronics,3,8999
1070,2023-11-11,Priya Singh,Laptop,Electronics,5,45999
1071,2023-10-03,Neha Verma,Smartphone,Electronics,4,15999
1074,2023-09-30,Amit Sharma,Smartphone,Electronics,2,15999
1075,2023-09-10,Rohit Gupta,Headphones,Electronics,5,1299
1076,2023-06-13,Rohit Gupta,Laptop,Electronics,3,45999
1079,2023-03-13,Neha Verma,Headphones,Electronics,3,1299
1080,2023-08-11,Priya Singh,Smartphone,Electronics,4,15999
1082,2023-01-20,Rahul Mehta,Printer,Electronics,5,8999
1083,2023-03-30,Amit Sharma,Laptop,Electronics,2,45999
1085,2023-03-09,Amit Sharma,Headphones,Electronics,3,1299
1086,2023-11-21,Rohit Gupta,Headphones,Electronics,4,1299
1089,2023-05-18,Neha Verma,Headphones,Electronics,3,1299
1090,2023-10-19,Priya Singh,Printer,Electronics,4,8999
1091,2023-03-08,Priya Singh,Smartphone,Electronics,3,15999
1092,2023-05-23,Priya Singh,Laptop,Electronics,5,45999
1096,2023-12-22,Rohit Gupta,Mouse,Electronics,3,499
1097,2023-07-28,Anjali Chauhan,Printer,Electronics,4,8999
1101,2023-05-18,Rahul Mehta,Smartphone,Electronics,5,15999
1103,2023-12-08,Rahul Mehta,Laptop,Electronics,5,45999
1104,2023-06-29,Rohit Gupta,Printer,Electronics,1,8999
1109,2023-02-25,Anjali Chauhan,Printer,Electronics,1,8999
1110,2023-05-17,Rohit Gupta,Mouse,Electronics,1,499
1111,2023-09-22,Rahul Mehta,Printer,Electronics,5,8999
1115,2023-10-07,Priya Singh,Mouse,Electronics,1,499
1116,2023-11-04,Priya Singh,Smartphone,Electronics,4,15999
1125,2023-08-10,Amit Sharma,Laptop,Electronics,3,45999
1126,2023-02-21,Neha Verma,Laptop,Electronics,5,45999
1128,2023-10-18,Amit Sharma,Headphones,Electronics,1,1299
1130,2023-06-01,Neha Verma,Mouse,Electronics,2,499
1134,2023-07-11,Amit Sharma,Smartphone,Electronics,3,15999
1135,2023-11-22,Rahul Mehta,Headphones,Electronics,5,1299
1137,2023-01-02,Priya Singh,Laptop,Electronics,3,45999
1138,2023-12-04,Amit Sharma,Laptop,Electronics,1,45999
1140,2023-06-24,Rohit Gupta,Printer,Electronics,5,8999
1142,2023-02-09,Rohit Gupta,Smartphone,Electronics,3,15999
1143,2023-11-03,Neha Verma,Printer,Electronics,4,8999
1144,2023-10-27,Neha Verma,Smartphone,Electronics,4,15999
1145,2023-05-05,Priya Singh,Smartphone,Electronics,4,15999
1147,2023-10-08,Anjali Chauhan,Smartphone,Electronics,4,15999
1150,2023-12-16,Rohit Gupta,Smartphone,Electronics,5,15999
1153,2023-10-31,Amit Sharma,Laptop,Electronics,2,45999
1155,2023-05-06,Priya Singh,Smartphone,Electronics,5,15999
1157,2023-01-18,Neha Verma,Laptop,Electronics,4,45999
1160,2023-07-25,Rahul Mehta,Smartphone,Electronics,1,15999
1162,2023-05-31,Neha Verma,Headphones,Electronics,1,1299
1163,2023-07-24,Amit Sharma,Mouse,Electronics,4,499
1164,2023-03-19,Priya Singh,Smartphone,Electronics,1,15999
1165,2023-11-05,Rohit Gupta,Smartphone,Electronics,3,15999
1170,2023-04-12,Rahul Mehta,Smartphone,Electronics,3,15999
1173,2023-12-18,Neha Verma,Mouse,Electronics,3,499
1176,2023-03-17,Anjali Chauhan,Mouse,Electronics,2,499
1178,2023-08-30,Rohit Gupta,Laptop,Electronics,3,45999
1180,2023-05-09,Rahul Mehta,Mouse,Electronics,5,499
1181,2023-03-10,Priya Singh,Laptop,Electronics,1,45999
1182,2023-10-13,Anjali Chauhan,Smartphone,Electronics,4,15999
1183,2023-10-02,Rahul Mehta,Laptop,Electronics,5,45999
1187,2023-01-15,Neha Verma,Mouse,Electronics,3,499
1190,2023-10-28,Rohit Gupta,Laptop,Electronics,2,45999
1193,2023-10-10,Rahul Mehta,Laptop,Electronics,5,45999
1196,2023-09-11,Priya Singh,Mouse,Electronics,2,499
1199,2023-07-25,Amit Sharma,Printer,Electronics,2,8999
1200,2023-02-20,Neha Verma,Headphones,Electronics,4,1299
1203,2023-08-23,Rahul Mehta,Laptop,Electronics,2,45999
1204,2023-05-19,Rohit Gupta,Smartphone,Electronics,4,15999
1207,2023-04-15,Amit Sharma,Smartphone,Electronics,5,15999
